                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1419,                 4.6194,                 2.5847,                0.07021,                    0.2,                0.04751,                 0.0108,                 3.5449,                 5.6719,                 2.2006,                  4e-05,                  4e-05,                  4e-05
                      2,                 4.5106,                 4.3028,                 2.1138,                0.01283,                    0.3,                0.01801,                0.00385,                 3.8315,                 3.5321,                 2.2367,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 4.5556,                 4.2037,                 2.2035,                0.01754,                    0.4,                 0.0148,                 0.0054,                 3.5341,                 3.8791,                 2.0419,             0.00015683,             0.00015683,             0.00015683
                      4,                 3.7964,                 3.8651,                 1.7543,                0.09116,                    0.3,                0.04196,                0.01126,                 3.5442,                 3.3874,                 2.0197,             0.00021347,             0.00021347,             0.00021347
                      5,                 3.6035,                 2.7333,                 1.7333,                0.14382,                    0.3,                0.08143,                0.01669,                 3.5977,                 5.7151,                 1.8868,             0.00026891,             0.00026891,             0.00026891
                      6,                 3.6313,                 3.0489,                 1.5149,                0.11279,                    0.3,                0.11522,                0.02603,                 3.5646,                 15.511,                 1.7247,             0.00032317,             0.00032317,             0.00032317
                      7,                 3.5358,                 3.0682,                 1.5321,                0.19399,                    0.4,                0.22921,                0.07487,                   3.33,                 14.544,                 1.5828,             0.00037624,             0.00037624,             0.00037624
                      8,                 3.0201,                  2.258,                  1.307,                0.26388,                0.36026,                0.37119,                0.08923,                 3.4344,                 9.9615,                  1.609,             0.00042812,             0.00042812,             0.00042812
                      9,                 2.7823,                 2.4907,                 1.5405,                0.23709,                    0.7,                0.33702,                0.08351,                 3.1206,                 11.393,                 1.4787,             0.00047882,             0.00047882,             0.00047882
                     10,                  3.446,                  2.027,                 1.4307,                0.23823,                    0.8,                0.44164,                0.13176,                 2.6709,                 14.416,                 1.3445,             0.00052832,             0.00052832,             0.00052832
                     11,                 2.8345,                 1.6317,                 1.3657,                0.31051,                    0.8,                0.64465,                0.27347,                 2.3853,                 9.4904,                 1.2466,             0.00057664,             0.00057664,             0.00057664
                     12,                 2.6786,                 1.5307,                 1.2832,                0.36605,                      1,                0.66389,                0.32179,                 2.1653,                 8.1488,                 1.1969,             0.00062377,             0.00062377,             0.00062377
                     13,                 2.1518,                 1.4225,                 1.2443,                 0.3665,                    0.9,                0.78558,                0.42664,                 1.6121,                 6.3356,                 1.0751,             0.00066971,             0.00066971,             0.00066971
                     14,                 2.4491,                 1.3921,                 1.2818,                0.30824,                    0.9,                0.79244,                0.39063,                 1.7027,                   6.58,                 1.0936,             0.00071447,             0.00071447,             0.00071447
                     15,                 2.5948,                 1.3171,                 1.2407,                  0.297,                    0.9,                0.79318,                0.31553,                 1.9352,                 7.9547,                 1.1518,             0.00075803,             0.00075803,             0.00075803
                     16,                 2.1999,                 1.2108,                 1.2312,                0.18298,                    0.9,                0.86148,                   0.42,                 1.8871,                 11.956,                 1.1466,             0.00080041,             0.00080041,             0.00080041
                     17,                 2.5375,                 1.3344,                 1.3307,                0.28666,                      1,                0.93556,                0.49784,                 1.6914,                  9.032,                 1.0876,              0.0008416,              0.0008416,              0.0008416
                     18,                 2.6255,                 1.2589,                 1.1901,                0.27006,                      1,                0.92227,                0.39528,                  1.721,                 8.8279,                 1.0742,              0.0008816,              0.0008816,              0.0008816
                     19,                  2.389,                 1.2179,                 1.2214,                0.38233,                      1,                0.93136,                0.41158,                  1.765,                 6.6168,                 1.0583,             0.00092042,             0.00092042,             0.00092042
                     20,                 2.3172,                 1.2975,                 1.1349,                0.58914,                    0.9,                0.87364,                0.44683,                 1.8881,                 3.4415,                  1.104,             0.00095804,             0.00095804,             0.00095804
                     21,                 2.2592,                 1.1387,                 1.1024,                0.75421,                 0.9219,                0.97192,                0.45133,                 1.8534,                 2.0861,                 1.1004,             0.00099448,             0.00099448,             0.00099448
                     22,                 2.1782,                 1.1494,                 1.1123,                0.97507,                      1,                  0.995,                0.50847,                 1.7908,                 2.0289,                 1.1438,              0.0010297,              0.0010297,              0.0010297
                     23,                 2.1878,                  1.144,                 1.1432,                0.97973,                      1,                  0.995,                0.48914,                 1.8022,                 2.0866,                  1.203,              0.0010638,              0.0010638,              0.0010638
                     24,                 2.5958,                 1.2485,                 1.2191,                0.87622,                      1,                  0.995,                0.48443,                 1.8147,                 1.9944,                 1.2183,              0.0010967,              0.0010967,              0.0010967
                     25,                 2.2642,                 1.1148,                   1.19,                0.89539,                      1,                0.98591,                0.55798,                 1.6366,                 1.7823,                 1.1108,              0.0011284,              0.0011284,              0.0011284
                     26,                  2.079,                 1.0965,                  1.094,                0.64418,                    0.9,                 0.9575,                0.48501,                  1.627,                 1.8299,                  1.058,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.9638,                 1.0434,                 1.0935,                0.82924,                0.97302,                0.97833,                0.33802,                 1.7776,                 2.5541,                 1.0935,              0.0011882,              0.0011882,              0.0011882
                     28,                 2.1316,                 1.3287,                 1.0811,                0.59212,                    0.9,                  0.935,                0.38185,                 1.9004,                 3.0612,                 1.1159,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.7152,                0.98179,                  1.115,                0.59212,                    0.9,                  0.935,                0.38185,                 1.9004,                 3.0612,                 1.1159,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.8274,                0.99524,                 1.0327,                0.65496,                    0.9,                  0.925,                0.46312,                 1.7376,                 2.9873,                 1.0785,               0.001269,               0.001269,               0.001269
                     31,                 1.9941,                0.92813,                 1.1177,                0.58483,                      1,                0.85105,                0.41191,                 1.7182,                 3.0842,                 1.0737,              0.0012935,              0.0012935,              0.0012935
                     32,                 2.0518,                 1.0464,                 1.1819,                0.73403,                    0.9,                0.83569,                0.40046,                  1.749,                 2.2966,                 1.1054,              0.0013169,              0.0013169,              0.0013169
                     33,                  2.011,                 1.0289,                 1.0458,                0.73403,                    0.9,                0.83569,                0.40046,                  1.749,                 2.2966,                 1.1054,              0.0013391,              0.0013391,              0.0013391
                     34,                 1.9859,                  1.038,                 1.0824,                0.71307,                0.99448,                0.78243,                 0.3137,                 1.9103,                 1.8962,                 1.1546,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8629,                 1.0624,                 1.0548,                0.83249,                0.99446,                0.82917,                0.36543,                 1.7358,                 1.7916,                 1.1048,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5876,                 0.9722,                   1.08,                0.88609,                      1,                0.92227,                0.46644,                 1.5765,                 2.3514,                 1.0325,               0.001307,               0.001307,               0.001307
                     37,                 1.9656,                0.98415,                 1.1176,                0.88609,                      1,                0.92227,                0.46644,                 1.5765,                 2.3514,                 1.0325,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7476,                0.88778,                 1.0289,                0.78786,                      1,                0.94955,                0.41514,                 1.8478,                 2.6926,                 1.0562,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.1948,                 1.0419,                 1.1119,                0.59933,                    0.9,                0.77846,                0.25175,                  2.314,                 4.2321,                 1.1689,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.0709,                 1.4032,                 1.1872,                0.42984,                    0.6,                0.51562,                 0.1763,                 2.8432,                 4.6483,                 1.3876,              0.0012278,              0.0012278,              0.0012278
